LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 832699, 0, 53.40164933547416, 91.7839745706737, 46.99339498018933,
1, 724679, 0, 57.94344806459136, 99.59016393442623, 50.99016393443038,
2, 724679, 0, 57.94344806459136, 99.59016393442623, 50.99016393443038,
3, 724679, 0, 57.94344806459136, 99.59016393442623, 50.99016393443038,
4, 724679, 0, 57.94344806459136, 99.59016393442623, 50.99016393443038,
5, 306935, 0, 73.56345806115301, 100.0, 67.72486772486778,
6, 538703, 0, 72.28027317464354, 98.25581395348837, 66.54362003198854,
7, 36887, 0, 72.95795266625099, 99.1745283018868, 67.1658181092147,
8, 538703, 0, 72.28027317464354, 98.25581395348837, 66.54362003198854,
9, 538703, 0, 72.28027317464354, 98.25581395348837, 66.54362003198854,
10, 282671, 0, 79.87802073788963, 94.23076923076923, 76.09803445765591,
11, 391391, 0, 84.76842850244385, 100.0, 80.75709779179763,
12, 36239, 0, 79.47239162228539, 93.75, 75.70977917981064,
13, 391391, 0, 84.76842850244385, 100.0, 80.75709779179763,
14, 391391, 0, 84.76842850244385, 100.0, 80.75709779179763,
15, 321407, 0, 70.25111463035964, 76.5625, 68.4118673647464,
16, 321407, 0, 71.68481084730576, 78.125, 69.80802792321043,
17, 35711, 0, 91.75884181344684, 100.0, 89.3542757417102,
18, 321407, 0, 71.68481084730576, 78.125, 69.80802792321043,
19, 321407, 0, 71.68481084730576, 78.125, 69.80802792321043,
20, 33471, 0, 5.975321920468465, 6.25, 5.890669180018854,
