LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 110.0, 39266.0, 1778700, 257.0, 39476.0, 451584, 511.0, 39651.0, 4352, -5416.0, 26692.0, 160948, -995.0, -1.0, 9408, 3128.0, 39840.0, 774655,
1, 1.0, 29306.0, 1679616, 257.0, 29433.0, 442368, 511.0, 29723.0, 6400, -5525.0, 24904.0, 251848, -3757.0, -1.0, 36864, 3128.0, 29906.0, 560127,
2, 1.0, 29306.0, 1679616, 257.0, 29433.0, 442368, 511.0, 29723.0, 6400, -5525.0, 24904.0, 251848, -3757.0, -1.0, 36864, 3128.0, 29906.0, 560127,
3, 1.0, 29306.0, 1679616, 257.0, 29433.0, 442368, 511.0, 29723.0, 6400, -5525.0, 24904.0, 251848, -3757.0, -1.0, 36864, 3128.0, 29906.0, 560127,
4, 1.0, 29306.0, 1679616, 257.0, 29433.0, 442368, 511.0, 29723.0, 6400, -5525.0, 24904.0, 251848, -3757.0, -1.0, 36864, 3128.0, 29906.0, 560127,
5, 1.0, 9196.0, 451584, 257.0, 10281.0, 294912, 511.0, 10487.0, 2048, -5525.0, 6469.0, 306120, -5269.0, 9434.0, 294912, 1644.0, 10823.0, 301311,
6, 1.0, 12772.0, 778752, 257.0, 13027.0, 442368, 511.0, 13317.0, 20992, -5525.0, 9053.0, 140452, -5269.0, 13001.0, 442368, 1644.0, 13587.0, 432895,
7, 193.0, 2938.0, 53824, 257.0, 3129.0, 32768, 511.0, 3392.0, 9344, -5083.0, -1.0, 50176, -884.0, -1.0, 8192, 1644.0, 3780.0, 107903,
8, 1.0, 12772.0, 778752, 257.0, 13027.0, 442368, 511.0, 13317.0, 20992, -5525.0, 9053.0, 140452, -5269.0, 13001.0, 442368, 1644.0, 13587.0, 432895,
9, 1.0, 12772.0, 778752, 257.0, 13027.0, 442368, 511.0, 13317.0, 20992, -5525.0, 9053.0, 140452, -5269.0, 13001.0, 442368, 1644.0, 13587.0, 432895,
10, 1.0, 4344.0, 225792, 257.0, 4727.0, 294912, 511.0, 5049.0, 50176, -5525.0, 3272.0, 188039, -5269.0, 4518.0, 294912, 1633.0, 5225.0, 251135,
11, 1.0, 8432.0, 331776, 257.0, 8943.0, 589824, 511.0, 9085.0, 36864, -5083.0, -1.0, 50176, -5269.0, 8670.0, 589824, 1732.0, 9413.0, 332031,
12, 129.0, 256.0, 28800, 257.0, 639.0, 32768, 511.0, 990.0, 57600, -2542.0, -1.0, 25088, -3315.0, -1.0, 32768, 923.0, 1030.0, 57855,
13, 1.0, 8432.0, 331776, 257.0, 8943.0, 589824, 511.0, 9085.0, 36864, -5083.0, -1.0, 50176, -5269.0, 8670.0, 589824, 1732.0, 9413.0, 332031,
14, 1.0, 8432.0, 331776, 257.0, 8943.0, 589824, 511.0, 9085.0, 36864, -5083.0, -1.0, 50176, -5269.0, 8670.0, 589824, 1732.0, 9413.0, 332031,
15, 1.0, 10480.0, 112896, 257.0, 11247.0, 1179648, 511.0, 11294.0, 25088, -5083.0, -1.0, 50176, -5269.0, 11051.0, 1179648, 3195.0, 11519.0, 226047,
16, 1.0, 21982.0, 115200, 257.0, 22749.0, 2359296, 511.0, 22772.0, 12800, -2542.0, -1.0, 25088, -5269.0, 22470.0, 2359296, 5798.0, 23039.0, 230655,
17, 1.0, 256.0, 16384, 257.0, 1023.0, 131072, 511.0, 1085.0, 32768, -1326.0, -1.0, 12544, -5269.0, 821.0, 131072, 1277.0, 1404.0, 32768,
18, 1.0, 21982.0, 115200, 257.0, 22749.0, 2359296, 511.0, 22772.0, 12800, -2542.0, -1.0, 25088, -5269.0, 22470.0, 2359296, 5798.0, 23039.0, 230655,
19, 1.0, 21982.0, 115200, 257.0, 22749.0, 2359296, 511.0, 22772.0, 12800, -2542.0, -1.0, 25088, -5269.0, 22470.0, 2359296, 5798.0, 23039.0, 230655,
20, 1.0, 2022.0, 512, 257.0, 3277.0, 512000, 511.0, 3276.0, 1000, -111.0, -1.0, 512, -5269.0, 3106.0, 512000, 3531.0, 3538.0, 2000,
