LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 37886.0, 1778700, 1.0, 37904.0, 893760, 146.0, 38030.0, 798720, -5525.0, 26996.0, 155000, -995.0, -1.0, 9408, 2679.0, 38096.0, 774527,
1, 1.0, 18935.0, 1679616, 1.0, 18899.0, 847872, 575.0, 19025.0, 192512, -5525.0, 14403.0, 218322, -3757.0, -1.0, 36864, 5682.0, 19251.0, 186751,
2, 1.0, 18935.0, 1679616, 1.0, 18899.0, 847872, 575.0, 19025.0, 192512, -5525.0, 14403.0, 218322, -3757.0, -1.0, 36864, 5682.0, 19251.0, 186751,
3, 1.0, 18935.0, 1679616, 1.0, 18899.0, 847872, 575.0, 19025.0, 192512, -5525.0, 14403.0, 218322, -3757.0, -1.0, 36864, 5682.0, 19251.0, 186751,
4, 1.0, 18935.0, 1679616, 1.0, 18899.0, 847872, 575.0, 19025.0, 192512, -5525.0, 14403.0, 218322, -3757.0, -1.0, 36864, 5682.0, 19251.0, 186751,
5, 1.0, 5378.0, 451584, 1.0, 5683.0, 516096, 575.0, 5809.0, 102144, -5525.0, 3845.0, 267405, -5525.0, 5473.0, 516096, 3175.0, 6161.0, 100479,
6, 1.0, 8217.0, 778752, 1.0, 8309.0, 884736, 1151.0, 8435.0, 88064, -5525.0, 6609.0, 132518, -5525.0, 8272.0, 884736, 5479.0, 8679.0, 86655,
7, 1.0, 2014.0, 53824, 1.0, 2099.0, 57344, 63.0, 2225.0, 109440, -5083.0, -1.0, 50176, -884.0, -1.0, 8192, 1127.0, 2634.0, 107775,
8, 1.0, 8217.0, 778752, 1.0, 8309.0, 884736, 1151.0, 8435.0, 88064, -5525.0, 6609.0, 132518, -5525.0, 8272.0, 884736, 5479.0, 8679.0, 86655,
9, 1.0, 8217.0, 778752, 1.0, 8309.0, 884736, 1151.0, 8435.0, 88064, -5525.0, 6609.0, 132518, -5525.0, 8272.0, 884736, 5479.0, 8679.0, 86655,
10, 1.0, 5422.0, 451584, 1.0, 5497.0, 589824, 1151.0, 5623.0, 51200, -5525.0, 4243.0, 311028, -5525.0, 5142.0, 589824, 5623.0, 6014.0, 50176,
11, 1.0, 9993.0, 663552, 1.0, 10105.0, 1179648, 2303.0, 10231.0, 37888, -5083.0, -1.0, 50176, -5525.0, 9890.0, 1179648, 10231.0, 10518.0, 36864,
12, 1.0, 1354.0, 57600, 1.0, 1401.0, 65536, 127.0, 1527.0, 58624, -2542.0, -1.0, 25088, -3315.0, -1.0, 32768, 1460.0, 1545.0, 57727,
13, 1.0, 9993.0, 663552, 1.0, 10105.0, 1179648, 2303.0, 10231.0, 37888, -5083.0, -1.0, 50176, -5525.0, 9890.0, 1179648, 10231.0, 10518.0, 36864,
14, 1.0, 9993.0, 663552, 1.0, 10105.0, 1179648, 2303.0, 10231.0, 37888, -5083.0, -1.0, 50176, -5525.0, 9890.0, 1179648, 10231.0, 10518.0, 36864,
15, 1.0, 10018.0, 451584, 1.0, 10105.0, 1179648, 2382.0, 10231.0, 26112, -5083.0, -1.0, 50176, -5525.0, 9890.0, 1179648, 10231.0, 10426.0, 25088,
16, 1.0, 19218.0, 460800, 1.0, 19321.0, 2359296, 4710.0, 19447.0, 13824, -2542.0, -1.0, 25088, -5525.0, 18955.0, 2359296, 19447.0, 19546.0, 12800,
17, 1.0, 1840.0, 65536, 1.0, 1913.0, 131072, 319.0, 2039.0, 33792, -1326.0, -1.0, 12544, -5525.0, 1689.0, 131072, 2039.0, 2294.0, 32768,
18, 1.0, 19218.0, 460800, 1.0, 19321.0, 2359296, 4710.0, 19447.0, 13824, -2542.0, -1.0, 25088, -5525.0, 18955.0, 2359296, 19447.0, 19546.0, 12800,
19, 1.0, 19218.0, 460800, 1.0, 19321.0, 2359296, 4710.0, 19447.0, 13824, -2542.0, -1.0, 25088, -5525.0, 18955.0, 2359296, 19447.0, 19546.0, 12800,
20, 1.0, 5874.0, 4096, 1.0, 5977.0, 512000, 638.0, 6103.0, 3048, -111.0, -1.0, 512, -5525.0, 5784.0, 512000, 6127.0, 6134.0, 1000,
