LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %,
0, 535955, 0, 82.96871938875465, 99.9009247027741, 82.9685645836537,
1, 443591, 0, 94.66017119373477, 99.59016393442623, 94.65995779905836,
2, 443591, 0, 94.66017119373477, 99.59016393442623, 94.65995779905836,
3, 443591, 0, 94.66017119373477, 99.59016393442623, 94.65995779905836,
4, 443591, 0, 94.66017119373477, 99.59016393442623, 94.65995779905836,
5, 237551, 0, 95.04990507301589, 100.0, 95.04950495049424,
6, 406607, 0, 95.76224708379344, 98.25581395348837, 95.7620115688824,
7, 39855, 0, 67.52477731777694, 99.1745283018868, 67.52308309915651,
8, 406607, 0, 95.76224708379344, 98.25581395348837, 95.7620115688824,
9, 406607, 0, 95.76224708379344, 98.25581395348837, 95.7620115688824,
10, 245855, 0, 91.83949889162311, 94.23076923076923, 91.83912534166322,
11, 336095, 0, 98.71494666686502, 100.0, 98.71465295629801,
12, 37919, 0, 75.95137002558084, 93.75, 75.94936708860779,
13, 336095, 0, 98.71494666686502, 100.0, 98.71465295629801,
14, 336095, 0, 98.71494666686502, 100.0, 98.71465295629801,
15, 298751, 0, 75.57865915093171, 76.5625, 75.57840616966578,
16, 296831, 0, 77.61992514258955, 78.125, 77.61966364812419,
17, 36607, 0, 89.51293468462316, 100.0, 89.51048951048939,
18, 296831, 0, 77.61992514258955, 78.125, 77.61966364812419,
19, 296831, 0, 77.61992514258955, 78.125, 77.61966364812419,
20, 34145, 0, 5.857372968223752, 6.200396825396826, 5.857201429157154,
