LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 158341.0, 3557400, 1.0, 158391.0, 3565632, 146.0, 158421.0, 822912, -18432.0, -1.0, 150528, -995.0, -1.0, 9408, 11432.0, 158429.0, 774431,
1, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -24576.0, -1.0, 200704, -3757.0, -1.0, 36864, 35027.0, 118039.0, 186655,
2, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -24576.0, -1.0, 200704, -3757.0, -1.0, 36864, 35027.0, 118039.0, 186655,
3, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -24576.0, -1.0, 200704, -3757.0, -1.0, 36864, 35027.0, 118039.0, 186655,
4, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -24576.0, -1.0, 200704, -3757.0, -1.0, 36864, 35027.0, 118039.0, 186655,
5, 1.0, 63560.0, 1806336, 1.0, 63769.0, 1843200, 575.0, 63799.0, 106752, -24576.0, -1.0, 200704, -5525.0, 32498.0, 92114, 35665.0, 65207.0, 100383,
6, 1.0, 106773.0, 3115008, 1.0, 106801.0, 3244032, 1151.0, 106831.0, 92160, -12288.0, -1.0, 100352, -5525.0, 80715.0, 202614, 67961.0, 107807.0, 86559,
7, 1.0, 13430.0, 215296, 1.0, 13577.0, 221184, 63.0, 13607.0, 114560, -6144.0, -1.0, 50176, -884.0, -1.0, 8192, 7022.0, 15243.0, 107679,
8, 1.0, 106773.0, 3115008, 1.0, 106801.0, 3244032, 1151.0, 106831.0, 92160, -12288.0, -1.0, 100352, -5525.0, 80715.0, 202614, 67961.0, 107807.0, 86559,
9, 1.0, 106773.0, 3115008, 1.0, 106801.0, 3244032, 1151.0, 106831.0, 92160, -12288.0, -1.0, 100352, -5525.0, 80715.0, 202614, 67961.0, 107807.0, 86559,
10, 1.0, 67540.0, 1806336, 1.0, 67953.0, 2064384, 1151.0, 67983.0, 53760, -12288.0, -1.0, 100352, -5525.0, 60077.0, 423614, 67983.0, 69550.0, 50176,
11, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -6144.0, -1.0, 50176, -5525.0, 93942.0, 2949120, 94639.0, 95790.0, 36864,
12, 1.0, 11924.0, 230400, 1.0, 12129.0, 262144, 127.0, 12159.0, 61696, -6144.0, -1.0, 25088, -3315.0, -1.0, 32768, 11569.0, 12231.0, 57631,
13, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -6144.0, -1.0, 50176, -5525.0, 93942.0, 2949120, 94639.0, 95790.0, 36864,
14, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -6144.0, -1.0, 50176, -5525.0, 93942.0, 2949120, 94639.0, 95790.0, 36864,
15, 1.0, 75658.0, 1806336, 1.0, 75681.0, 2359296, 2303.0, 75711.0, 27136, -6144.0, -1.0, 50176, -5525.0, 74454.0, 2359296, 75711.0, 76494.0, 25088,
16, 1.0, 74682.0, 1843200, 1.0, 74689.0, 2359296, 4614.0, 74719.0, 13824, -6144.0, -1.0, 25088, -5525.0, 73462.0, 2359296, 74719.0, 75118.0, 12800,
17, 1.0, 10136.0, 262144, 1.0, 10145.0, 262144, 255.0, 10175.0, 34816, -6144.0, -1.0, 12544, -5525.0, 7839.0, 143268, 10175.0, 11198.0, 32768,
18, 1.0, 74682.0, 1843200, 1.0, 74689.0, 2359296, 4614.0, 74719.0, 13824, -6144.0, -1.0, 25088, -5525.0, 73462.0, 2359296, 74719.0, 75118.0, 12800,
19, 1.0, 74682.0, 1843200, 1.0, 74689.0, 2359296, 4614.0, 74719.0, 13824, -6144.0, -1.0, 25088, -5525.0, 73462.0, 2359296, 74719.0, 75118.0, 12800,
20, 1.0, 18306.0, 16384, 1.0, 18313.0, 512000, 542.0, 18343.0, 3048, -6144.0, -1.0, 512, -5525.0, 17415.0, 512000, 18367.0, 18398.0, 1000,
