LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 24617.0, 1778700, 1.0, 12610.0, 9408, 255.0, 24899.0, 1548800, -5397.0, 23535.0, 227576, -995.0, -1.0, 9408, 1150.0, 24967.0, 1548927,
1, 129.0, 16299.0, 1679616, 1.0, 13320.0, 36864, 255.0, 16425.0, 933120, -5397.0, 16244.0, 996095, -3757.0, -1.0, 36864, 1150.0, 16867.0, 933247,
2, 129.0, 16299.0, 1679616, 1.0, 13320.0, 36864, 255.0, 16425.0, 933120, -5397.0, 16244.0, 996095, -3757.0, -1.0, 36864, 1150.0, 16867.0, 933247,
3, 129.0, 16299.0, 1679616, 1.0, 13320.0, 36864, 255.0, 16425.0, 933120, -5397.0, 16244.0, 996095, -3757.0, -1.0, 36864, 1150.0, 16867.0, 933247,
4, 129.0, 16299.0, 1679616, 1.0, 13320.0, 36864, 255.0, 16425.0, 933120, -5397.0, 16244.0, 996095, -3757.0, -1.0, 36864, 1150.0, 16867.0, 933247,
5, 129.0, 5610.0, 451584, 1.0, 4792.0, 73728, 255.0, 5829.0, 501760, -5397.0, 4388.0, 439232, -5525.0, 3546.0, 73728, 750.0, 5861.0, 501887,
6, 129.0, 9395.0, 778752, 1.0, 8592.0, 147456, 255.0, 9521.0, 778752, -5397.0, 9294.0, 778752, -5525.0, 6444.0, 147456, 750.0, 9557.0, 778879,
7, 129.0, 1002.0, 53824, 65.0, 128.0, 8192, 255.0, 1222.0, 107648, -5083.0, -1.0, 50176, -884.0, -1.0, 8192, 750.0, 1631.0, 107775,
8, 129.0, 9395.0, 778752, 1.0, 8592.0, 147456, 255.0, 9521.0, 778752, -5397.0, 9294.0, 778752, -5525.0, 6444.0, 147456, 750.0, 9557.0, 778879,
9, 129.0, 9395.0, 778752, 1.0, 8592.0, 147456, 255.0, 9521.0, 778752, -5397.0, 9294.0, 778752, -5525.0, 6444.0, 147456, 750.0, 9557.0, 778879,
10, 129.0, 10262.0, 451584, 1.0, 9954.0, 294912, 255.0, 10403.0, 451584, -5397.0, 8903.0, 267150, -5525.0, 9359.0, 294912, 1511.0, 10475.0, 451711,
11, 129.0, 18809.0, 663552, 1.0, 18538.0, 589824, 255.0, 18935.0, 663552, -5083.0, -1.0, 50176, -5525.0, 17451.0, 589824, 1833.0, 19367.0, 663679,
12, 129.0, 1071.0, 57600, 1.0, 735.0, 32768, 255.0, 1213.0, 57600, -2542.0, -1.0, 25088, -3315.0, -1.0, 32768, 1146.0, 1231.0, 57727,
13, 129.0, 18809.0, 663552, 1.0, 18538.0, 589824, 255.0, 18935.0, 663552, -5083.0, -1.0, 50176, -5525.0, 17451.0, 589824, 1833.0, 19367.0, 663679,
14, 129.0, 18809.0, 663552, 1.0, 18538.0, 589824, 255.0, 18935.0, 663552, -5083.0, -1.0, 50176, -5525.0, 17451.0, 589824, 1833.0, 19367.0, 663679,
15, 129.0, 30897.0, 451584, 1.0, 30729.0, 1179648, 255.0, 31031.0, 451584, -5083.0, -1.0, 50176, -5525.0, 30275.0, 1179648, 3831.0, 31103.0, 451711,
16, 129.0, 58481.0, 460800, 1.0, 58329.0, 2359296, 255.0, 58607.0, 460800, -2542.0, -1.0, 25088, -5525.0, 57468.0, 2359296, 7221.0, 58751.0, 460927,
17, 129.0, 3432.0, 65536, 1.0, 3250.0, 131072, 255.0, 3567.0, 65536, -1326.0, -1.0, 12544, -5525.0, 2772.0, 131072, 3058.0, 3647.0, 65663,
18, 129.0, 58481.0, 460800, 1.0, 58329.0, 2359296, 255.0, 58607.0, 460800, -2542.0, -1.0, 25088, -5525.0, 57468.0, 2359296, 7221.0, 58751.0, 460927,
19, 129.0, 58481.0, 460800, 1.0, 58329.0, 2359296, 255.0, 58607.0, 460800, -2542.0, -1.0, 25088, -5525.0, 57468.0, 2359296, 7221.0, 58751.0, 460927,
20, 129.0, 12129.0, 4096, 1.0, 12001.0, 512000, 255.0, 12231.0, 4000, -111.0, -1.0, 512, -5525.0, 11605.0, 512000, 12255.0, 12286.0, 4000,
