LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 121785.0, 3557400, 1.0, 109778.0, 9408, 63.0, 121939.0, 3872000, -5493.0, 112817.0, 1325362, -1024.0, -1.0, 9408, 1806.0, 121979.0, 3872031,
1, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -5493.0, 106932.0, 3359232, -4096.0, -1.0, 36864, 1806.0, 109655.0, 3359263,
2, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -5493.0, 106932.0, 3359232, -4096.0, -1.0, 36864, 1806.0, 109655.0, 3359263,
3, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -5493.0, 106932.0, 3359232, -4096.0, -1.0, 36864, 1806.0, 109655.0, 3359263,
4, 33.0, 108329.0, 3359232, 1.0, 105382.0, 36864, 63.0, 108359.0, 3359232, -5493.0, 106932.0, 3359232, -4096.0, -1.0, 36864, 1806.0, 109655.0, 3359263,
5, 33.0, 63156.0, 1806336, 1.0, 62370.0, 73728, 63.0, 63215.0, 1806336, -5493.0, 61152.0, 1711646, -8192.0, -1.0, 73728, 1994.0, 64367.0, 1806367,
6, 33.0, 110849.0, 3115008, 1.0, 110142.0, 147456, 63.0, 110879.0, 3115008, -5493.0, 110177.0, 3115008, -15360.0, -1.0, 147456, 1994.0, 111455.0, 3115039,
7, 33.0, 7419.0, 215296, 1.0, 6577.0, 8192, 63.0, 7479.0, 215296, -5083.0, -1.0, 50176, -1024.0, -1.0, 8192, 1994.0, 9023.0, 215327,
8, 33.0, 110849.0, 3115008, 1.0, 110142.0, 147456, 63.0, 110879.0, 3115008, -5493.0, 110177.0, 3115008, -15360.0, -1.0, 147456, 1994.0, 111455.0, 3115039,
9, 33.0, 110849.0, 3115008, 1.0, 110142.0, 147456, 63.0, 110879.0, 3115008, -5493.0, 110177.0, 3115008, -15360.0, -1.0, 147456, 1994.0, 111455.0, 3115039,
10, 33.0, 83474.0, 1806336, 1.0, 83262.0, 294912, 63.0, 83519.0, 1806336, -5493.0, 80259.0, 930190, -29696.0, -1.0, 294912, 2558.0, 84671.0, 1806367,
11, 33.0, 137057.0, 2654208, 1.0, 136882.0, 589824, 63.0, 137087.0, 2654208, -5083.0, -1.0, 50176, -51200.0, 118794.0, 589824, 2919.0, 138815.0, 2654239,
12, 33.0, 10161.0, 230400, 1.0, 9921.0, 32768, 63.0, 10207.0, 230400, -2542.0, -1.0, 25088, -4096.0, -1.0, 32768, 2464.0, 10495.0, 230431,
13, 33.0, 137057.0, 2654208, 1.0, 136882.0, 589824, 63.0, 137087.0, 2654208, -5083.0, -1.0, 50176, -51200.0, 118794.0, 589824, 2919.0, 138815.0, 2654239,
14, 33.0, 137057.0, 2654208, 1.0, 136882.0, 589824, 63.0, 137087.0, 2654208, -5083.0, -1.0, 50176, -51200.0, 118794.0, 589824, 2919.0, 138815.0, 2654239,
15, 33.0, 164697.0, 1806336, 1.0, 164625.0, 1179648, 63.0, 164735.0, 1806336, -5083.0, -1.0, 50176, -51200.0, 142889.0, 1179648, 5096.0, 165887.0, 1806367,
16, 33.0, 274145.0, 1843200, 1.0, 274089.0, 2359296, 63.0, 274175.0, 1843200, -2542.0, -1.0, 25088, -51200.0, 237913.0, 2359296, 8287.0, 274751.0, 1843231,
17, 33.0, 20184.0, 262144, 1.0, 20098.0, 131072, 63.0, 20223.0, 262144, -1326.0, -1.0, 12544, -13312.0, -1.0, 131072, 4329.0, 21503.0, 262175,
18, 33.0, 274145.0, 1843200, 1.0, 274089.0, 2359296, 63.0, 274175.0, 1843200, -2542.0, -1.0, 25088, -51200.0, 237913.0, 2359296, 8287.0, 274751.0, 1843231,
19, 33.0, 274145.0, 1843200, 1.0, 274089.0, 2359296, 63.0, 274175.0, 1843200, -2542.0, -1.0, 25088, -51200.0, 237913.0, 2359296, 8287.0, 274751.0, 1843231,
20, 33.0, 48609.0, 16384, 1.0, 48577.0, 512000, 63.0, 48615.0, 16000, -111.0, -1.0, 512, -51200.0, 48577.0, 512000, 48639.0, 49138.0, 16000,
