LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 122242.0, 338688, 17.0, 122284.0, 677376, 31.0, 122303.0, 512, -5525.0, 88613.0, 151923, -111.0, -1.0, 864, 8455.0, 124095.0, 802831,
1, 1.0, 640391.0, 3484800, 17.0, 640407.0, 218016, 31.0, 640409.0, 4, -5525.0, 629144.0, 455568, -111.0, -1.0, 288, 162463.0, 643666.0, 217815,
2, 1.0, 172386.0, 401408, 17.0, 172465.0, 1605632, 31.0, 172479.0, 1024, -5525.0, 166112.0, 401408, -221.0, -1.0, 2048, 5971.0, 172607.0, 1605647,
3, 1.0, 331037.0, 1806336, 17.0, 331617.0, 112896, 31.0, 331631.0, 16, -5525.0, 324450.0, 900384, -111.0, -1.0, 576, 162463.0, 331775.0, 112911,
4, 1.0, 136258.0, 200704, 17.0, 136401.0, 1605632, 31.0, 136415.0, 2048, -5525.0, 112586.0, 200704, -884.0, -1.0, 8192, 4729.0, 136543.0, 1605647,
5, 1.0, 619241.0, 3359232, 17.0, 619257.0, 210816, 31.0, 619259.0, 4, -5525.0, 608007.0, 513875, -221.0, -1.0, 1152, 162463.0, 622025.0, 209967,
6, 1.0, 272674.0, 401408, 17.0, 272817.0, 3211264, 31.0, 272831.0, 2048, -5525.0, 262752.0, 401408, -1658.0, -1.0, 16384, 4729.0, 273087.0, 3211279,
7, 1.0, 164657.0, 903168, 17.0, 165801.0, 56448, 31.0, 165815.0, 16, -5525.0, 163902.0, 445971, -221.0, -1.0, 1152, 162463.0, 165887.0, 56463,
8, 1.0, 118098.0, 100352, 17.0, 118369.0, 1605632, 31.0, 118383.0, 4096, -5525.0, 64944.0, 100352, -3315.0, -1.0, 32768, 4092.0, 118511.0, 1605647,
9, 1.0, 290993.0, 1557504, 17.0, 291009.0, 99072, 31.0, 291011.0, 4, -5525.0, 268619.0, 245576, -332.0, -1.0, 2304, 162463.0, 293651.0, 97359,
10, 1.0, 236482.0, 200704, 17.0, 236753.0, 3211264, 31.0, 236767.0, 4096, -5525.0, 195402.0, 200704, -5509.0, 236277.0, 3211264, 4092.0, 237023.0, 3211279,
11, 1.0, 85697.0, 451584, 17.0, 87969.0, 29952, 31.0, 87971.0, 4, -5525.0, 59750.0, 219516, -332.0, -1.0, 2304, 87983.0, 89746.0, 28224,
12, 1.0, 115522.0, 50176, 17.0, 116049.0, 1703936, 31.0, 116051.0, 2048, -5083.0, -1.0, 50176, -5509.0, 112910.0, 1703936, 3770.0, 116191.0, 1605647,
13, 1.0, 121793.0, 663552, 17.0, 121809.0, 41472, 31.0, 121823.0, 16, -5525.0, 63029.0, 108590, -553.0, -1.0, 4608, 121823.0, 124414.0, 41472,
14, 1.0, 231586.0, 100352, 17.0, 232113.0, 3407872, 31.0, 232115.0, 2048, -5525.0, 119984.0, 100352, -5509.0, 229571.0, 3407872, 3770.0, 232383.0, 3211279,
15, 1.0, 121793.0, 663552, 17.0, 121809.0, 41472, 31.0, 121823.0, 16, -5525.0, 63029.0, 108590, -553.0, -1.0, 4608, 121823.0, 124414.0, 41472,
16, 1.0, 231586.0, 100352, 17.0, 232113.0, 3407872, 31.0, 232115.0, 2048, -5525.0, 119984.0, 100352, -5509.0, 229571.0, 3407872, 3770.0, 232383.0, 3211279,
17, 1.0, 121793.0, 663552, 17.0, 121809.0, 41472, 31.0, 121823.0, 16, -5525.0, 63029.0, 108590, -553.0, -1.0, 4608, 121823.0, 124414.0, 41472,
18, 1.0, 231586.0, 100352, 17.0, 232113.0, 3407872, 31.0, 232115.0, 2048, -5525.0, 119984.0, 100352, -5509.0, 229571.0, 3407872, 3770.0, 232383.0, 3211279,
19, 1.0, 121793.0, 663552, 17.0, 121809.0, 41472, 31.0, 121823.0, 16, -5525.0, 63029.0, 108590, -553.0, -1.0, 4608, 121823.0, 124414.0, 41472,
20, 1.0, 231586.0, 100352, 17.0, 232113.0, 3407872, 31.0, 232115.0, 2048, -5525.0, 119984.0, 100352, -5509.0, 229571.0, 3407872, 3770.0, 232383.0, 3211279,
21, 1.0, 121793.0, 663552, 17.0, 121809.0, 41472, 31.0, 121823.0, 16, -5525.0, 63029.0, 108590, -553.0, -1.0, 4608, 121823.0, 124414.0, 41472,
22, 1.0, 231586.0, 100352, 17.0, 232113.0, 3407872, 31.0, 232115.0, 2048, -5525.0, 119984.0, 100352, -5509.0, 229571.0, 3407872, 3770.0, 232383.0, 3211279,
23, 1.0, 48097.0, 225792, 17.0, 54129.0, 18432, 31.0, 54128.0, 1, -5525.0, 34088.0, 131035, -553.0, -1.0, 4608, 54143.0, 55024.0, 14112,
24, 1.0, 135906.0, 25088, 17.0, 136945.0, 2097152, 31.0, 136944.0, 1024, -2542.0, -1.0, 25088, -5509.0, 133494.0, 2097152, 3632.0, 137087.0, 1605647,
25, 1.0, 27041.0, 82944, 17.0, 27057.0, 9216, 31.0, 27064.0, 9, -5083.0, -1.0, 50176, -995.0, -1.0, 9216, 27071.0, 27394.0, 5184,
26, 1.0, 272866.0, 50176, 17.0, 273905.0, 4194304, 31.0, 273904.0, 1024, -5083.0, -1.0, 50176, -5509.0, 270600.0, 4194304, 3632.0, 274175.0, 3211279,
