LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 29915.0, 338688, 1.0, 29893.0, 169344, 26.0, 29955.0, 426496, -5525.0, 21756.0, 151732, -111.0, -1.0, 864, 4157.0, 30211.0, 401471,
1, 1.0, 78537.0, 3484800, 1.0, 78534.0, 54720, 287.0, 78596.0, 36420, -5525.0, 69338.0, 437886, -111.0, -1.0, 288, 78659.0, 78848.0, 12100,
2, 1.0, 30905.0, 401408, 1.0, 30905.0, 401408, 31.0, 30967.0, 827904, -5525.0, 29775.0, 401408, -221.0, -1.0, 2048, 2148.0, 31415.0, 802879,
3, 1.0, 34278.0, 1806336, 1.0, 34272.0, 28224, 575.0, 34334.0, 9408, -5525.0, 33514.0, 900797, -111.0, -1.0, 576, 34397.0, 34445.0, 3136,
4, 1.0, 18557.0, 401408, 1.0, 18557.0, 401408, 63.0, 18619.0, 413952, -5525.0, 17919.0, 401408, -884.0, -1.0, 8192, 2596.0, 18843.0, 401471,
5, 1.0, 58697.0, 3359232, 1.0, 58662.0, 52992, 1151.0, 58724.0, 8804, -5525.0, 57140.0, 515192, -221.0, -1.0, 1152, 58787.0, 58832.0, 2916,
6, 1.0, 24829.0, 802816, 1.0, 24829.0, 802816, 127.0, 24891.0, 413952, -5525.0, 23962.0, 802816, -1658.0, -1.0, 16384, 3492.0, 25115.0, 401471,
7, 1.0, 16118.0, 903168, 1.0, 16488.0, 14976, 1151.0, 16550.0, 2448, -5525.0, 14613.0, 529721, -221.0, -1.0, 1152, 16613.0, 16625.0, 784,
8, 1.0, 13097.0, 401408, 1.0, 13145.0, 425984, 127.0, 13207.0, 207360, -5525.0, 12537.0, 401408, -3315.0, -1.0, 32768, 3727.0, 13751.0, 200767,
9, 1.0, 26639.0, 1557504, 1.0, 26604.0, 25344, 2303.0, 26666.0, 2084, -5525.0, 22792.0, 255530, -332.0, -1.0, 2304, 26729.0, 26739.0, 676,
10, 1.0, 19753.0, 802816, 1.0, 19801.0, 851968, 255.0, 19863.0, 207360, -5525.0, 18868.0, 802816, -5525.0, 15025.0, 71634, 5647.0, 20407.0, 200767,
11, 1.0, 8828.0, 451584, 1.0, 9594.0, 9216, 2303.0, 9656.0, 708, -5525.0, 6840.0, 352018, -332.0, -1.0, 2304, 9719.0, 9722.0, 196,
12, 1.0, 12101.0, 401408, 1.0, 12161.0, 524288, 255.0, 12223.0, 104448, -5083.0, -1.0, 50176, -5525.0, 9295.0, 143268, 6793.0, 12927.0, 100415,
13, 1.0, 14091.0, 663552, 1.0, 14076.0, 13824, 4607.0, 14138.0, 528, -5525.0, 12562.0, 120700, -553.0, -1.0, 4608, 14201.0, 14203.0, 144,
14, 1.0, 20293.0, 802816, 1.0, 20353.0, 1048576, 511.0, 20415.0, 104448, -5525.0, 19258.0, 802816, -5525.0, 18247.0, 419518, 11401.0, 21119.0, 100415,
15, 1.0, 14091.0, 663552, 1.0, 14076.0, 13824, 4607.0, 14138.0, 528, -5525.0, 12562.0, 120700, -553.0, -1.0, 4608, 14201.0, 14203.0, 144,
16, 1.0, 20293.0, 802816, 1.0, 20353.0, 1048576, 511.0, 20415.0, 104448, -5525.0, 19258.0, 802816, -5525.0, 18247.0, 419518, 11401.0, 21119.0, 100415,
17, 1.0, 14091.0, 663552, 1.0, 14076.0, 13824, 4607.0, 14138.0, 528, -5525.0, 12562.0, 120700, -553.0, -1.0, 4608, 14201.0, 14203.0, 144,
18, 1.0, 20293.0, 802816, 1.0, 20353.0, 1048576, 511.0, 20415.0, 104448, -5525.0, 19258.0, 802816, -5525.0, 18247.0, 419518, 11401.0, 21119.0, 100415,
19, 1.0, 14091.0, 663552, 1.0, 14076.0, 13824, 4607.0, 14138.0, 528, -5525.0, 12562.0, 120700, -553.0, -1.0, 4608, 14201.0, 14203.0, 144,
20, 1.0, 20293.0, 802816, 1.0, 20353.0, 1048576, 511.0, 20415.0, 104448, -5525.0, 19258.0, 802816, -5525.0, 18247.0, 419518, 11401.0, 21119.0, 100415,
21, 1.0, 14091.0, 663552, 1.0, 14076.0, 13824, 4607.0, 14138.0, 528, -5525.0, 12562.0, 120700, -553.0, -1.0, 4608, 14201.0, 14203.0, 144,
22, 1.0, 20293.0, 802816, 1.0, 20353.0, 1048576, 511.0, 20415.0, 104448, -5525.0, 19258.0, 802816, -5525.0, 18247.0, 419518, 11401.0, 21119.0, 100415,
23, 1.0, 4648.0, 225792, 1.0, 4608.0, 4608, 4622.0, 4670.0, 177, -5525.0, 3232.0, 152658, -553.0, -1.0, 4608, 4733.0, 4733.0, 49,
24, 1.0, 10130.0, 401408, 1.0, 10145.0, 524288, 526.0, 10207.0, 52224, -2542.0, -1.0, 25088, -5525.0, 9692.0, 524288, 10207.0, 10990.0, 50176,
25, 1.0, 9224.0, 82944, 1.0, 9216.0, 9216, 9270.0, 9278.0, 137, -5083.0, -1.0, 50176, -995.0, -1.0, 9216, 9341.0, 9341.0, 9,
26, 1.0, 18322.0, 802816, 1.0, 18337.0, 1048576, 1038.0, 18399.0, 52224, -5083.0, -1.0, 50176, -5525.0, 17461.0, 1048576, 18399.0, 19182.0, 50176,
