LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 129.0, 12688.0, 338688, 102.0, 128.0, 864, 255.0, 12829.0, 401408, -5397.0, 9248.0, 151708, -111.0, -1.0, 864, 1998.0, 13037.0, 401535,
1, 129.0, 37223.0, 3484800, 1.0, 25092.0, 288, 255.0, 37318.0, 36300, -5397.0, 37153.0, 1217246, -111.0, -1.0, 288, 37445.0, 37728.0, 36300,
2, 129.0, 12703.0, 401408, 97.0, 128.0, 2048, 255.0, 12861.0, 802816, -5397.0, 12230.0, 401408, -221.0, -1.0, 2048, 1150.0, 13149.0, 802943,
3, 129.0, 17342.0, 1806336, 1.0, 14200.0, 576, 255.0, 17462.0, 15680, -5397.0, 17043.0, 1784896, -111.0, -1.0, 576, 17589.0, 17711.0, 15680,
4, 129.0, 3327.0, 200704, 65.0, 128.0, 8192, 255.0, 3517.0, 401408, -5397.0, 2750.0, 200704, -884.0, -1.0, 8192, 750.0, 3629.0, 401535,
5, 129.0, 29555.0, 3359232, 1.0, 26512.0, 1152, 255.0, 29554.0, 26244, -5397.0, 29146.0, 3359232, -221.0, -1.0, 1152, 29681.0, 29886.0, 26244,
6, 129.0, 3391.0, 401408, 1.0, 128.0, 16384, 255.0, 3517.0, 401408, -5397.0, 3213.0, 401408, -1658.0, -1.0, 16384, 750.0, 3629.0, 401535,
7, 129.0, 10338.0, 903168, 1.0, 9456.0, 1152, 255.0, 10366.0, 7056, -5397.0, 9846.0, 881792, -221.0, -1.0, 1152, 10493.0, 10548.0, 7056,
8, 129.0, 2205.0, 200704, 1.0, 1294.0, 32768, 255.0, 2331.0, 200704, -5397.0, 1869.0, 200704, -3315.0, -1.0, 32768, 750.0, 2603.0, 200831,
9, 129.0, 18917.0, 1557504, 1.0, 18114.0, 2304, 255.0, 18916.0, 12168, -5397.0, 18772.0, 1557504, -332.0, -1.0, 2304, 19043.0, 19138.0, 12168,
10, 129.0, 4537.0, 401408, 1.0, 3626.0, 65536, 255.0, 4663.0, 401408, -5397.0, 4359.0, 401408, -5525.0, 3546.0, 65536, 750.0, 4775.0, 401535,
11, 129.0, 10262.0, 451584, 1.0, 9954.0, 2304, 255.0, 10276.0, 3528, -5397.0, 9083.0, 430336, -332.0, -1.0, 2304, 10403.0, 10430.0, 3528,
12, 129.0, 4497.0, 200704, 1.0, 4174.0, 131072, 255.0, 4623.0, 200704, -5083.0, -1.0, 50176, -5525.0, 3564.0, 131072, 1511.0, 4895.0, 200831,
13, 129.0, 18809.0, 663552, 1.0, 18538.0, 4608, 255.0, 18808.0, 5184, -5397.0, 18777.0, 663552, -553.0, -1.0, 4608, 18935.0, 18975.0, 5184,
14, 129.0, 9121.0, 401408, 1.0, 8798.0, 262144, 255.0, 9247.0, 401408, -5397.0, 8943.0, 401408, -5525.0, 7577.0, 262144, 1511.0, 9359.0, 401535,
15, 129.0, 18809.0, 663552, 1.0, 18538.0, 4608, 255.0, 18808.0, 5184, -5397.0, 18777.0, 663552, -553.0, -1.0, 4608, 18935.0, 18975.0, 5184,
16, 129.0, 9121.0, 401408, 1.0, 8798.0, 262144, 255.0, 9247.0, 401408, -5397.0, 8943.0, 401408, -5525.0, 7577.0, 262144, 1511.0, 9359.0, 401535,
17, 129.0, 18809.0, 663552, 1.0, 18538.0, 4608, 255.0, 18808.0, 5184, -5397.0, 18777.0, 663552, -553.0, -1.0, 4608, 18935.0, 18975.0, 5184,
18, 129.0, 9121.0, 401408, 1.0, 8798.0, 262144, 255.0, 9247.0, 401408, -5397.0, 8943.0, 401408, -5525.0, 7577.0, 262144, 1511.0, 9359.0, 401535,
19, 129.0, 18809.0, 663552, 1.0, 18538.0, 4608, 255.0, 18808.0, 5184, -5397.0, 18777.0, 663552, -553.0, -1.0, 4608, 18935.0, 18975.0, 5184,
20, 129.0, 9121.0, 401408, 1.0, 8798.0, 262144, 255.0, 9247.0, 401408, -5397.0, 8943.0, 401408, -5525.0, 7577.0, 262144, 1511.0, 9359.0, 401535,
21, 129.0, 18809.0, 663552, 1.0, 18538.0, 4608, 255.0, 18808.0, 5184, -5397.0, 18777.0, 663552, -553.0, -1.0, 4608, 18935.0, 18975.0, 5184,
22, 129.0, 9121.0, 401408, 1.0, 8798.0, 262144, 255.0, 9247.0, 401408, -5397.0, 8943.0, 401408, -5525.0, 7577.0, 262144, 1511.0, 9359.0, 401535,
23, 129.0, 15381.0, 225792, 1.0, 15213.0, 4608, 255.0, 15388.0, 1764, -5397.0, 10933.0, 152664, -553.0, -1.0, 4608, 15515.0, 15528.0, 1764,
24, 129.0, 13665.0, 200704, 1.0, 13489.0, 524288, 255.0, 13791.0, 200704, -2542.0, -1.0, 25088, -5525.0, 12975.0, 524288, 3831.0, 14063.0, 200831,
