LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 54.0, 39872.0, 924075, 129.0, 39978.0, 232800, 255.0, 40062.0, 1056, -5472.0, 28210.0, 155644, -332.0, -1.0, 2400, 5716.0, 40214.0, 394399,
1, 1.0, 246397.0, 9331200, 129.0, 246429.0, 73600, 255.0, 246539.0, 16, -5525.0, 240542.0, 516450, -111.0, -1.0, 800, 165711.0, 246857.0, 81775,
2, 97.0, 43390.0, 401408, 129.0, 43485.0, 200704, 255.0, 43707.0, 8192, -5429.0, 42034.0, 401408, -221.0, -1.0, 2048, 3058.0, 43931.0, 802943,
3, 1.0, 119241.0, 4840000, 129.0, 119305.0, 38400, 255.0, 119448.0, 81, -5525.0, 113462.0, 1308544, -221.0, -1.0, 1600, 119495.0, 119802.0, 39325,
4, 65.0, 12368.0, 200704, 129.0, 12559.0, 204800, 255.0, 12685.0, 8192, -5461.0, 10279.0, 200704, -884.0, -1.0, 8192, 1895.0, 12861.0, 401535,
5, 1.0, 210395.0, 8652800, 129.0, 210523.0, 70400, 255.0, 210537.0, 16, -5525.0, 187776.0, 601140, -332.0, -1.0, 3200, 165711.0, 210746.0, 67727,
6, 1.0, 12368.0, 401408, 129.0, 12623.0, 409600, 255.0, 12685.0, 8192, -5525.0, 11808.0, 401408, -1658.0, -1.0, 16384, 1895.0, 12861.0, 401535,
7, 1.0, 57195.0, 2332800, 129.0, 57323.0, 19200, 255.0, 57410.0, 89, -5525.0, 50185.0, 1214754, -332.0, -1.0, 3200, 57449.0, 57591.0, 18225,
8, 1.0, 3956.0, 100352, 129.0, 4339.0, 229376, 255.0, 4353.0, 4096, -5525.0, 1962.0, 100352, -3315.0, -1.0, 32768, 1132.0, 4737.0, 200831,
9, 1.0, 95495.0, 3686400, 129.0, 95623.0, 32000, 255.0, 95685.0, 64, -5525.0, 88561.0, 412942, -663.0, -1.0, 6400, 95749.0, 95973.0, 28800,
10, 1.0, 8422.0, 200704, 129.0, 8805.0, 458752, 255.0, 8819.0, 4096, -5525.0, 6395.0, 200704, -5397.0, 8611.0, 458752, 1132.0, 9043.0, 401535,
11, 1.0, 38045.0, 1081600, 129.0, 38173.0, 12800, 255.0, 38212.0, 41, -5525.0, 23369.0, 881730, -663.0, -1.0, 6400, 38299.0, 38365.0, 8450,
12, 1.0, 2810.0, 50176, 129.0, 3449.0, 262144, 255.0, 3515.0, 34816, -5083.0, -1.0, 50176, -5397.0, 3065.0, 262144, 750.0, 3847.0, 200831,
13, 1.0, 38045.0, 1280000, 129.0, 38173.0, 12800, 255.0, 38271.0, 100, -5525.0, 36097.0, 826310, -1326.0, -1.0, 12800, 38299.0, 38377.0, 10000,
14, 1.0, 6386.0, 100352, 129.0, 7025.0, 524288, 255.0, 7091.0, 34816, -5525.0, 2730.0, 100352, -5397.0, 6751.0, 524288, 750.0, 7263.0, 401535,
15, 1.0, 38045.0, 1280000, 129.0, 38173.0, 12800, 255.0, 38271.0, 100, -5525.0, 36097.0, 826310, -1326.0, -1.0, 12800, 38299.0, 38377.0, 10000,
16, 1.0, 6386.0, 100352, 129.0, 7025.0, 524288, 255.0, 7091.0, 34816, -5525.0, 2730.0, 100352, -5397.0, 6751.0, 524288, 750.0, 7263.0, 401535,
