LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 52802.0, 924075, 1.0, 52851.0, 926400, 74.0, 52881.0, 418976, -5525.0, 37743.0, 154096, -332.0, -1.0, 2400, 7472.0, 53106.0, 394303,
1, 1.0, 314583.0, 9331200, 1.0, 314568.0, 292000, 799.0, 314598.0, 35024, -5525.0, 302375.0, 525922, -111.0, -1.0, 800, 314629.0, 314993.0, 11664,
2, 1.0, 73665.0, 802816, 1.0, 73665.0, 802816, 31.0, 73695.0, 852992, -5525.0, 70998.0, 802816, -221.0, -1.0, 2048, 5107.0, 74591.0, 802847,
3, 1.0, 157523.0, 4840000, 1.0, 157828.0, 152000, 1599.0, 157858.0, 9105, -5525.0, 150555.0, 1093782, -221.0, -1.0, 1600, 157889.0, 157983.0, 3025,
4, 1.0, 49361.0, 802816, 1.0, 49361.0, 802816, 63.0, 49391.0, 426496, -5525.0, 47562.0, 802816, -884.0, -1.0, 8192, 6867.0, 49839.0, 401439,
5, 1.0, 277223.0, 8652800, 1.0, 277208.0, 272000, 3199.0, 277238.0, 8144, -5525.0, 273931.0, 787098, -332.0, -1.0, 3200, 277269.0, 277353.0, 2704,
6, 1.0, 74449.0, 1605632, 1.0, 74449.0, 1605632, 127.0, 74479.0, 426496, -5525.0, 74328.0, 1605632, -1658.0, -1.0, 16384, 10387.0, 74927.0, 401439,
7, 1.0, 74347.0, 2332800, 1.0, 74964.0, 73600, 3199.0, 74994.0, 2201, -5525.0, 71329.0, 634622, -332.0, -1.0, 3200, 75025.0, 75047.0, 729,
8, 1.0, 37953.0, 802816, 1.0, 37969.0, 819200, 127.0, 37999.0, 213504, -5525.0, 36540.0, 802816, -3315.0, -1.0, 32768, 10577.0, 39087.0, 200735,
9, 1.0, 116285.0, 3686400, 1.0, 116254.0, 115200, 6399.0, 116284.0, 1728, -5525.0, 115205.0, 341286, -663.0, -1.0, 6400, 116315.0, 116332.0, 576,
10, 1.0, 63553.0, 1605632, 1.0, 63569.0, 1638400, 255.0, 63599.0, 213504, -5525.0, 63335.0, 1605632, -5525.0, 47907.0, 71634, 17745.0, 64687.0, 200735,
11, 1.0, 37437.0, 1081600, 1.0, 38710.0, 38400, 6399.0, 38740.0, 553, -5525.0, 31078.0, 302049, -663.0, -1.0, 6400, 38771.0, 38776.0, 169,
12, 1.0, 35557.0, 802816, 1.0, 35585.0, 917504, 255.0, 35615.0, 107520, -5083.0, -1.0, 50176, -5525.0, 26919.0, 143268, 19653.0, 37023.0, 100383,
13, 1.0, 51389.0, 1280000, 1.0, 51386.0, 51200, 12799.0, 51416.0, 356, -5525.0, 36219.0, 140248, -1326.0, -1.0, 12800, 51447.0, 51450.0, 100,
14, 1.0, 64229.0, 1605632, 1.0, 64257.0, 1835008, 511.0, 64287.0, 107520, -5525.0, 63626.0, 1605632, -5525.0, 60477.0, 292634, 35525.0, 65695.0, 100383,
