LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 37081.0, 924075, 1.0, 24862.0, 2400, 63.0, 37244.0, 1182816, -5493.0, 30046.0, 373830, -332.0, -1.0, 2400, 1806.0, 37919.0, 1182847,
1, 33.0, 293919.0, 9331200, 1.0, 282224.0, 800, 63.0, 293918.0, 291600, -5493.0, 292366.0, 9331200, -111.0, -1.0, 800, 55735.0, 294422.0, 291631,
2, 33.0, 25245.0, 802816, 1.0, 12670.0, 2048, 63.0, 25275.0, 802816, -5493.0, 24314.0, 802816, -221.0, -1.0, 2048, 1806.0, 26171.0, 802847,
3, 33.0, 155863.0, 4840000, 1.0, 152863.0, 1600, 63.0, 155918.0, 151250, -5493.0, 154150.0, 4804864, -221.0, -1.0, 1600, 57051.0, 157220.0, 151281,
4, 33.0, 25809.0, 802816, 1.0, 22642.0, 8192, 63.0, 25839.0, 802816, -5493.0, 24878.0, 802816, -884.0, -1.0, 8192, 1806.0, 26735.0, 802847,
5, 33.0, 279769.0, 8652800, 1.0, 277034.0, 3200, 63.0, 279768.0, 270400, -5493.0, 278698.0, 8652800, -332.0, -1.0, 3200, 57239.0, 281337.0, 270431,
6, 33.0, 51649.0, 1605632, 1.0, 48482.0, 16384, 63.0, 51679.0, 1605632, -5493.0, 51528.0, 1605632, -1658.0, -1.0, 16384, 1806.0, 51743.0, 1605663,
7, 33.0, 82241.0, 2332800, 1.0, 81509.0, 3200, 63.0, 82268.0, 72900, -5493.0, 81031.0, 2298368, -332.0, -1.0, 3200, 62409.0, 82850.0, 72931,
8, 33.0, 28065.0, 802816, 1.0, 27250.0, 32768, 63.0, 28095.0, 802816, -5493.0, 27040.0, 802816, -3315.0, -1.0, 32768, 1994.0, 28991.0, 802847,
9, 33.0, 133969.0, 3686400, 1.0, 133362.0, 6400, 63.0, 133968.0, 115200, -5493.0, 132519.0, 3686400, -663.0, -1.0, 6400, 64383.0, 134143.0, 115231,
10, 33.0, 56161.0, 1605632, 1.0, 55346.0, 65536, 63.0, 56191.0, 1605632, -5493.0, 56040.0, 1605632, -5525.0, 46565.0, 65536, 1994.0, 56255.0, 1605663,
11, 33.0, 52555.0, 1081600, 1.0, 52369.0, 6400, 63.0, 52568.0, 33800, -5493.0, 49578.0, 1048576, -663.0, -1.0, 6400, 52599.0, 53655.0, 33800,
12, 33.0, 37089.0, 802816, 1.0, 36862.0, 131072, 63.0, 37119.0, 802816, -5083.0, -1.0, 50176, -5525.0, 31060.0, 131072, 2558.0, 38015.0, 802847,
13, 33.0, 77569.0, 1280000, 1.0, 77438.0, 12800, 63.0, 77568.0, 40000, -5493.0, 73604.0, 826190, -1326.0, -1.0, 12800, 77599.0, 78848.0, 40000,
14, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -5493.0, 74088.0, 1605632, -5525.0, 62377.0, 262144, 2558.0, 74303.0, 1605663,
15, 33.0, 77569.0, 1280000, 1.0, 77438.0, 12800, 63.0, 77568.0, 40000, -5493.0, 73604.0, 826190, -1326.0, -1.0, 12800, 77599.0, 78848.0, 40000,
16, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -5493.0, 74088.0, 1605632, -5525.0, 62377.0, 262144, 2558.0, 74303.0, 1605663,
17, 33.0, 77569.0, 1280000, 1.0, 77438.0, 12800, 63.0, 77568.0, 40000, -5493.0, 73604.0, 826190, -1326.0, -1.0, 12800, 77599.0, 78848.0, 40000,
18, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -5493.0, 74088.0, 1605632, -5525.0, 62377.0, 262144, 2558.0, 74303.0, 1605663,
19, 33.0, 77569.0, 1280000, 1.0, 77438.0, 12800, 63.0, 77568.0, 40000, -5493.0, 73604.0, 826190, -1326.0, -1.0, 12800, 77599.0, 78848.0, 40000,
20, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -5493.0, 74088.0, 1605632, -5525.0, 62377.0, 262144, 2558.0, 74303.0, 1605663,
21, 33.0, 77569.0, 1280000, 1.0, 77438.0, 12800, 63.0, 77568.0, 40000, -5493.0, 73604.0, 826190, -1326.0, -1.0, 12800, 77599.0, 78848.0, 40000,
22, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -5493.0, 74088.0, 1605632, -5525.0, 62377.0, 262144, 2558.0, 74303.0, 1605663,
23, 33.0, 51962.0, 460800, 1.0, 51902.0, 12800, 63.0, 51968.0, 14400, -5493.0, 43606.0, 254382, -1326.0, -1.0, 12800, 51999.0, 52448.0, 14400,
24, 33.0, 73185.0, 802816, 1.0, 73105.0, 524288, 63.0, 73215.0, 802816, -2542.0, -1.0, 25088, -5525.0, 69375.0, 524288, 5096.0, 74111.0, 802847,
25, 33.0, 78369.0, 102400, 1.0, 78334.0, 25600, 63.0, 78368.0, 3200, -5083.0, -1.0, 50176, -2652.0, -1.0, 25600, 78399.0, 78498.0, 3200,
26, 33.0, 146401.0, 1605632, 1.0, 146321.0, 1048576, 63.0, 146431.0, 1605632, -5083.0, -1.0, 50176, -5525.0, 138860.0, 1048576, 5096.0, 146495.0, 1605663,
